State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
MI,147,408,No,Yes,13,311.78487242344625,118,46.76773086351694,314.5300985627759,128,31.45300985627759,120.02643165240056,73,9.602114532192045,19.41119454157033,6,3.8822389083140667,1,False
IL,154,415,No,Yes,9,232.77133622131072,76,34.915700433196605,295.9430972543123,121,29.59430972543123,210.45842620048865,110,16.836674096039093,13.063102154605195,4,2.612620430921039,0,True
NY,148,408,Yes,No,15,310.43084043616904,129,46.56462606542535,207.2462329602226,56,20.724623296022262,140.84168959960505,103,11.267335167968405,5.212949517075856,7,1.0425899034151713,3,False
FL,178,415,No,Yes,15,245.05537969625735,55,36.7583069544386,150.26628801248629,112,15.026628801248629,146.11476276497083,111,11.689181021197667,8.864479981452938,3,1.7728959962905877,6,False
OH,198,510,Yes,No,30,239.92211120948497,62,35.988316681422745,228.5502600023348,95,22.85502600023348,150.5734872895509,50,12.045878983164073,11.749155114032895,6,2.3498310228065793,9,False
GA,104,510,Yes,No,41,126.31479629925309,113,18.947219444887963,284.0572206321375,112,28.40572206321375,196.67676426099447,98,15.734141140879558,15.393633665371516,9,3.078726733074303,5,True
TX,55,408,No,No,24,141.83993328465698,111,21.275989992698545,209.10489968239824,61,20.910489968239826,112.7875514050994,74,9.023004112407953,15.997405672051993,1,3.199481134410399,5,False
CA,144,415,No,No,12,343.00631412414776,148,51.45094711862216,266.6929774459743,62,26.66929774459743,199.44836023227455,59,15.955868818581964,19.931322693881842,3,3.9862645387763687,8,False
FL,182,415,No,No,5,157.1216866886927,68,23.568253003303905,123.5818565727609,92,12.35818565727609,227.92686177867523,129,18.23414894229402,9.312667990756385,2,1.862533598151277,1,False
NY,151,408,No,No,43,344.363029497592,125,51.65445442463879,287.00118409285085,66,28.700118409285086,220.8235712415813,65,17.665885699326505,13.073301528027129,8,2.614660305605426,3,False
GA,52,510,Yes,Yes,8,232.97817663106585,129,34.94672649465988,303.1784049732655,112,30.317840497326554,195.69602510076015,107,15.655682008060813,12.999853217894074,7,2.599970643578815,4,True
FL,72,408,Yes,Yes,44,133.94726176598428,92,20.09208926489764,276.7094639451353,130,27.670946394513535,309.7866520176881,121,24.782932161415047,11.084678891708563,2,2.2169357783417127,0,True
NY,102,510,Yes,No,35,124.82555068842323,123,18.723832603263485,341.81589688159136,85,34.181589688159136,136.33167310512601,78,10.906533848410081,7.537428407636303,6,1.5074856815272606,7,False
PA,132,415,Yes,No,42,152.216017676435,138,22.832402651465248,306.6630143651601,134,30.66630143651601,226.42418594534348,141,18.11393487562748,19.661848447757638,3,3.932369689551528,7,False
PA,194,510,Yes,No,19,331.40933250633395,69,49.71139987595009,325.77343196913455,57,32.57734319691345,115.51035423913858,55,9.240828339131086,17.79975779999879,8,3.5599515599997584,5,False
MI,134,408,No,Yes,17,203.5375560820567,144,30.530633412308504,333.392770864412,118,33.3392770864412,117.78891971947743,65,9.423113577558196,12.474995424413558,3,2.494999084882712,4,False
FL,127,415,Yes,No,42,198.85856699822858,117,29.828785049734286,300.3369979684521,139,30.033699796845212,243.46646241927408,69,19.477316993541926,14.048681340260448,9,2.80973626805209,7,True
PA,159,408,Yes,Yes,20,178.3015652675435,93,26.745234790131526,268.56471050162475,129,26.856471050162476,241.50460622195524,129,19.32036849775642,8.408915803394935,1,1.681783160678987,2,True
NY,50,408,Yes,No,3,136.7654626416471,72,20.514819396247066,101.42964534019733,85,10.142964534019733,319.50837821111423,120,25.56067025688914,13.156806055876203,5,2.631361211175241,2,True
MI,100,510,No,No,49,221.96279929810163,51,33.29441989471524,216.45643830578118,77,21.64564383057812,239.4684189150183,127,19.157473513201463,15.424551996822137,3,3.0849103993644276,1,True
NY,53,408,No,Yes,32,132.51194562778466,71,19.8767918441677,242.79057465559026,142,24.279057465559028,339.9477551012126,92,27.195820408097006,12.727505425798832,6,2.5455010851597666,4,False
MI,162,510,No,Yes,26,308.8700590955819,106,46.33050886433728,176.0075681119999,96,17.60075681119999,112.17371209998244,75,8.973896967998595,19.85427755877412,2,3.9708555117548237,2,False
FL,81,415,No,No,6,192.59924656882663,121,28.889886985323994,179.52611172586802,125,17.952611172586803,124.50192119518528,139,9.960153695614823,14.170124843715893,9,2.834024968743179,2,True
GA,83,510,Yes,No,5,193.7008919454491,56,29.05513379181736,340.2898539275413,79,34.02898539275413,111.01646539259535,127,8.881317231407628,10.564605688882535,6,2.112921137776507,5,True
OH,141,415,Yes,No,14,218.50160712078898,127,32.77524106811835,322.9277163006865,72,32.29277163006865,146.319212583385,120,11.7055370066708,16.582280414237573,7,3.3164560828475147,7,False
NC,144,510,No,Yes,17,211.0319282914379,105,31.654789243715683,312.294751375426,65,31.229475137542604,235.31752773541953,82,18.825402218833563,7.556937673724631,5,1.5113875347449264,1,False
GA,121,408,No,Yes,31,348.71449326483037,116,52.307173989724554,201.50295042652766,63,20.15029504265277,261.393045356857,75,20.91144362854856,10.767737205593999,9,2.1535474411188,3,False
IL,88,510,Yes,Yes,10,236.34528030457562,65,35.45179204568634,103.42463760222864,123,10.342463760222865,111.3962894871672,94,8.911703158973376,10.204384255663788,1,2.0408768511327575,6,False
NY,167,510,Yes,Yes,19,122.05042594746767,132,18.30756389212015,120.05556161392852,120,12.005556161392853,336.4927224613998,133,26.919417796911986,11.47710642661666,5,2.295421285323332,0,False
IL,52,415,No,Yes,23,251.7193353942325,100,37.757900309134875,178.04909205440092,101,17.804909205440094,310.54134416259524,112,24.843307533007618,16.726697388930894,6,3.345339477786179,0,True
GA,172,408,No,Yes,14,137.89607321747,131,20.6844109826205,103.93572824891925,86,10.393572824891926,174.1531205392733,116,13.932249643141864,12.262595482451111,7,2.4525190964902226,9,True
MI,99,510,No,No,47,107.73441118283549,129,16.16016167742532,104.28744547879953,78,10.428744547879953,119.29688255661699,101,9.54375060452936,16.91021675398944,4,3.3820433507978884,6,False
NC,61,408,No,No,6,342.685538419312,121,51.402830762896805,329.15082541060275,116,32.91508254106028,142.4717683047643,117,11.397741464381145,13.647333547097988,1,2.7294667094195977,6,False
NC,103,510,Yes,Yes,20,293.38472288364096,146,44.007708432546146,276.5396255297635,64,27.653962552976353,131.73610343874316,75,10.538888275099453,10.13104151986333,8,2.026208303972666,0,True
CA,182,510,Yes,No,41,345.0272481034417,61,51.75408721551626,177.23899751703817,149,17.72389975170382,130.82094482473673,124,10.46567558597894,17.149681155252086,4,3.4299362310504176,0,False
NC,106,408,Yes,No,25,219.4696120055606,102,32.92044180083409,133.1611444002383,96,13.316114440023831,229.6404221664335,51,18.37123377331468,8.574345058296373,3,1.7148690116592746,3,True
OH,194,510,No,Yes,43,233.06438278724403,124,34.9596574180866,227.90892947376926,95,22.79089294737693,161.46186062335008,63,12.916948849868007,8.365744696996932,7,1.6731489393993866,4,True
NC,161,408,No,No,13,142.08423897978255,54,21.312635846967382,101.33654021359112,101,10.133654021359114,189.5349291322861,79,15.162794330582887,12.567543860822536,2,2.5135087721645073,4,True
GA,96,510,Yes,Yes,36,161.7268566668964,76,24.259028500034457,334.603435964536,68,33.460343596453605,347.3763333460806,98,27.79010666768645,8.912738689431334,8,1.7825477378862669,3,True
CA,134,415,Yes,Yes,20,309.63730372570706,61,46.445595558856056,203.7037798472368,126,20.37037798472368,271.07856223133615,61,21.686284978506894,5.136305524268245,6,1.027261104853649,7,False
GA,191,408,Yes,No,17,189.04641177939854,66,28.35696176690978,200.58373880933317,70,20.058373880933317,337.24516676175034,139,26.979613340940027,14.724462909482023,7,2.9448925818964047,6,False
GA,115,510,Yes,Yes,4,306.70374344910476,55,46.00556151736571,197.64840189544555,113,19.764840189544557,135.6391387582789,93,10.851131100662313,12.66640732208597,5,2.533281464417194,8,True
TX,124,510,No,Yes,2,277.253431071758,146,41.5880146607637,117.33208259694119,86,11.73320825969412,195.5348687081423,82,15.642789496651385,11.682767217397418,9,2.3365534434794837,6,False
CA,152,415,Yes,Yes,22,144.29273131796637,54,21.643909697694955,259.58055994795666,76,25.958055994795668,238.68295082058856,62,19.094636065647084,19.50452771927473,5,3.9009055438549463,9,False
GA,87,408,Yes,Yes,25,226.86159152993554,106,34.02923872949033,283.25090490708834,104,28.325090490708835,119.1895154721845,127,9.53516123777476,13.567987759443705,5,2.713597551888741,0,False
TX,99,510,Yes,Yes,36,269.3468303796792,77,40.40202455695188,269.0313493970726,78,26.903134939707257,101.04686090698947,137,8.083748872559157,17.95147366684077,3,3.590294733368154,6,False
TX,147,415,Yes,Yes,23,158.75930370095628,127,23.813895555143443,134.6088733323486,69,13.46088733323486,267.6085834492294,147,21.408686675938352,7.091753543077402,1,1.4183507086154805,0,True
CA,131,510,Yes,Yes,48,307.6721276300192,118,46.150819144502876,244.71004200889814,74,24.471004200889816,260.45487920035885,75,20.836390336028707,13.538096946941415,2,2.707619389388283,6,False
IL,79,408,Yes,Yes,18,236.2069143862967,108,35.4310371579445,242.37112104306345,119,24.237112104306348,202.69720249990294,70,16.215776199992234,18.019694400963544,8,3.6039388801927092,9,True
MI,128,510,Yes,No,24,141.3105126106508,82,21.19657689159762,317.1026969853455,112,31.710269698534553,222.41101900800817,77,17.792881520640655,13.74658635919847,1,2.7493172718396943,7,True
OH,140,510,No,No,20,245.74610654115062,111,36.861915981172594,194.78191459391175,85,19.478191459391176,203.86075014802242,97,16.308860011841794,15.770212671905023,7,3.154042534381005,8,False
MI,101,510,No,No,11,349.92845103897855,99,52.48926765584678,192.87148591485857,51,19.28714859148586,106.00126121122221,149,8.480100896897778,10.58065351718311,5,2.1161307034366224,2,True
NC,128,510,No,Yes,40,137.6303729158534,68,20.64455593737801,254.6317646795464,71,25.46317646795464,183.8429015543656,89,14.707432124349248,6.386742755555999,3,1.2773485511112,3,False
OH,79,415,No,Yes,32,304.189232529882,135,45.628384879482304,258.26816337487827,145,25.826816337487827,144.27056384932246,115,11.541645107945797,11.868504426906071,7,2.3737008853812145,3,False
NC,155,415,Yes,No,49,151.82725079688947,118,22.77408761953342,217.3213068314476,65,21.73213068314476,124.60604727534218,122,9.968483782027375,10.917190862582864,9,2.183438172516573,8,True
GA,100,408,No,No,3,295.59708236502183,115,44.33956235475328,210.76484058260527,67,21.07648405826053,339.18010847233745,136,27.134408677786997,18.00590273568421,2,3.601180547136842,6,False
NY,130,415,No,No,41,283.6444807803533,143,42.546672117053,223.53691765947067,118,22.35369176594707,249.8399312605414,128,19.987194500843312,8.659929535287084,8,1.7319859070574168,2,True
CA,182,415,Yes,Yes,6,175.12234640010809,96,26.26835196001621,315.261324875828,103,31.5261324875828,282.1640710591507,126,22.573125684732055,19.50101341302662,9,3.900202682605324,9,True
OH,78,408,Yes,No,21,181.45577939111246,88,27.21836690866687,215.2917253134775,149,21.529172531347754,178.84093581652937,72,14.30727486532235,19.37207179706744,3,3.8744143594134886,4,False
OH,181,415,No,No,32,298.1303479907298,117,44.71955219860946,334.9829479924556,79,33.49829479924556,198.2867823735038,130,15.862942589880305,8.71447464607158,2,1.7428949292143159,6,False
GA,187,415,No,Yes,16,215.36137797182818,82,32.304206695774226,226.0009408990815,94,22.600094089908154,159.23099847418086,97,12.73847987793447,10.220779332159807,7,2.0441558664319617,7,False
IL,194,408,Yes,No,23,282.7045071779522,62,42.405676076692835,337.30017329522286,68,33.73001732952229,124.24141774135619,51,9.939313419308496,18.433336113108275,5,3.6866672226216552,0,True
TX,123,408,No,Yes,33,136.9960368414587,133,20.549405526218806,308.20797546726897,136,30.820797546726897,144.75790936039596,133,11.580632748831677,19.49933331344161,5,3.8998666626883223,1,False
GA,66,408,Yes,Yes,27,313.13944547538836,103,46.97091682130825,190.60783065395728,83,19.06078306539573,299.37851132412146,69,23.950280905929716,11.65158654254066,5,2.330317308508132,6,True
PA,133,510,Yes,Yes,42,277.7211791705798,56,41.65817687558697,315.910355324154,62,31.591035532415404,269.38645129594397,108,21.55091610367552,9.814955684613468,4,1.9629911369226936,1,True
TX,118,510,Yes,No,40,326.7357022087085,128,49.01035533130628,127.5158210502788,92,12.75158210502788,236.73221899636923,95,18.93857751970954,12.89141019877313,5,2.578282039754626,6,False
CA,83,408,Yes,No,38,133.09309475874312,136,19.96396421381147,331.2617938357536,111,33.12617938357536,218.772468216692,52,17.50179745733536,15.316538095486022,4,3.0633076190972046,8,False
TX,55,408,No,Yes,21,248.25362509014943,63,37.23804376352241,257.9108787707229,142,25.79108787707229,330.60857091403113,104,26.44868567312249,9.102117730624697,6,1.8204235461249394,1,False
IL,102,408,Yes,No,48,249.7801462600813,136,37.46702193901219,113.5976871305778,149,11.35976871305778,118.1837369446671,61,9.454698955573368,16.04709761928609,4,3.2094195238572185,6,True
TX,175,510,Yes,No,16,188.36518513669563,68,28.254777770504344,261.0641809127029,71,26.106418091270292,170.150203309479,89,13.61201626475832,5.774860356719616,2,1.1549720713439233,3,False
CA,92,510,No,No,33,214.61660614231445,103,32.192490921347165,343.561913536189,101,34.356191353618904,187.4844633926785,115,14.99875707141428,5.7394173914662465,9,1.1478834782932494,1,True
IL,164,415,Yes,No,5,109.49539082246336,142,16.424308623369505,117.45016365365723,101,11.745016365365723,295.60645305319696,149,23.648516244255756,10.794315577183179,2,2.158863115436636,6,False
MI,160,415,No,Yes,45,286.465009656753,69,42.96975144851295,238.67192744502157,85,23.86719274450216,348.12865504049284,127,27.85029240323943,10.302097880910809,9,2.060419576182162,4,False
OH,129,408,No,No,5,237.3306198507935,78,35.599592977619025,286.9485874398431,122,28.694858743984312,160.16762868928828,65,12.813410295143063,9.734498230507285,6,1.946899646101457,0,True
OH,144,510,No,Yes,33,114.43526296729344,73,17.165289445094015,302.56464667488285,68,30.256464667488288,318.5768335342701,132,25.48614668274161,12.36529644003365,9,2.47305928800673,4,True
NC,167,510,Yes,Yes,0,270.1889732401214,131,40.52834598601821,203.45686633019898,87,20.3456866330199,307.65569010794786,83,24.61245520863583,9.81100373467357,9,1.962200746934714,2,False
MI,193,510,No,No,9,216.69551930779699,112,32.50432789616955,151.04163979206075,119,15.104163979206076,156.16434941044164,93,12.493147952835331,7.8838687770213784,3,1.5767737554042758,6,False
MI,57,408,No,Yes,20,108.61531485625,123,16.292297228437498,110.58556969309596,128,11.058556969309597,199.83314504980564,55,15.986651603984452,9.642043236329013,1,1.9284086472658026,5,False
TX,181,415,Yes,No,4,342.40193171202384,106,51.360289756803574,244.93153927430618,106,24.49315392743062,202.4182173231298,126,16.193457385850383,19.623564092153522,1,3.9247128184307045,7,False
OH,153,408,No,No,1,337.2780357723601,57,50.59170536585402,213.22776756690268,69,21.32277675669027,344.55516713163956,113,27.564413370531167,11.166701254922728,3,2.2333402509845457,4,False
CA,181,415,No,Yes,21,228.22560403679938,139,34.23384060551991,337.18609878742774,58,33.718609878742775,145.22297534472457,149,11.617838027577966,11.670691652875036,5,2.334138330575007,1,True
FL,74,415,No,Yes,47,123.41810517647755,111,18.512715776471634,115.15122692872745,81,11.515122692872746,299.7894927761955,71,23.983159422095643,13.6481748492671,3,2.72963496985342,8,True
FL,145,408,No,Yes,1,288.65530539964794,78,43.29829580994719,271.34883586150147,53,27.13488358615015,183.54817854327746,67,14.683854283462196,19.7501115262134,9,3.9500223052426797,7,True
IL,142,415,No,Yes,9,222.98277502643225,123,33.44741625396484,106.2415555300143,99,10.62415555300143,282.7175864440401,61,22.61740691552321,8.624019146536446,9,1.7248038293072891,5,True
OH,110,415,Yes,No,33,175.61186957234497,66,26.341780435851746,142.85854417763568,131,14.285854417763568,205.0027510739157,101,16.400220085913258,15.219231657986507,3,3.0438463315973014,9,False
OH,171,510,No,No,15,222.85454438213918,115,33.42818165732088,213.39474998070853,54,21.339474998070855,244.58994077913502,143,19.567195262330802,15.739770403125862,3,3.1479540806251727,6,True
FL,100,415,No,No,47,230.61103635136612,55,34.59165545270492,213.71811070071703,69,21.371811070071704,308.1529433315328,100,24.652235466522626,14.109866251895989,5,2.821973250379198,8,True
OH,196,408,Yes,Yes,38,240.6779247555848,107,36.101688713337715,271.42513573341097,136,27.1425135733411,301.041391245971,120,24.083311299677682,6.328675094549661,2,1.2657350189099323,6,True
TX,70,408,Yes,Yes,21,210.30592841383162,118,31.54588926207474,327.5532587169391,124,32.75532587169391,316.60579588492504,145,25.328463670794005,15.153084137413646,6,3.0306168274827296,2,False
PA,54,415,Yes,Yes,11,251.43882578476416,77,37.715823867714626,259.7580397287302,86,25.97580397287302,114.90433133616476,97,9.19234650689318,5.961420665542632,7,1.1922841331085265,5,True
NY,141,510,No,No,23,329.68367765159434,111,49.45255164773915,338.3837744628772,71,33.83837744628772,273.01263825993624,68,21.841011060794898,13.942139743248454,9,2.788427948649691,6,False
MI,110,510,Yes,Yes,46,190.5670217746478,90,28.585053266197168,320.4039099694994,107,32.040390996949945,134.99684418044072,55,10.799747534435257,16.093717658326142,6,3.2187435316652286,1,True
NC,71,415,No,No,39,281.4291158049873,118,42.21436737074809,246.12494888269757,117,24.612494888269758,203.95464200460276,133,16.316371360368223,8.164548359299257,3,1.6329096718598515,2,False
IL,198,415,No,Yes,37,323.613139206058,131,48.5419708809087,308.4479877297068,142,30.844798772970684,237.1471037636721,76,18.971768301093768,17.62433011314161,5,3.524866022628322,3,True
PA,119,408,Yes,No,9,213.9948189399842,139,32.09922284099763,260.6444025809085,93,26.06444025809085,200.68487118670768,102,16.054789694936616,5.455307082995064,4,1.0910614165990127,9,False
FL,50,415,Yes,No,34,210.86395909547605,133,31.629593864321407,119.63945773093178,83,11.96394577309318,229.90291895075188,97,18.392233516060152,17.657192954874592,5,3.5314385909749184,5,True
MI,182,510,No,Yes,48,250.5292463386949,90,37.579386950804235,285.1411808148775,126,28.51411808148775,349.13157719965477,56,27.930526175972382,11.904935759641475,8,2.380987151928295,0,False
OH,61,415,Yes,Yes,31,247.85168985562203,98,37.177753478343305,123.72711031683656,91,12.372711031683657,133.8043284282137,108,10.704346274257096,8.263819098974668,8,1.6527638197949337,8,False
NC,139,408,No,No,6,301.6473355815692,140,45.24710033723538,248.5206951424281,58,24.852069514242814,268.8640113341064,118,21.509120906728512,7.00667217490952,6,1.4013344349819041,4,True
OH,95,408,Yes,No,20,219.12084594457318,98,32.868126891685975,275.6600514645572,144,27.566005146455723,199.0002415964038,60,15.920019327712305,19.299607513735587,1,3.8599215027471176,6,False
CA,83,408,Yes,Yes,19,349.0307374098603,125,52.354610611479046,116.63190205271381,56,11.663190205271382,133.2524497268322,64,10.660195978146575,6.0899838137173505,8,1.2179967627434702,8,False
CA,127,408,Yes,Yes,25,114.8678922168202,120,17.23018383252303,157.69866348163293,117,15.769866348163294,139.68419084357737,113,11.17473526748619,7.986401299038885,8,1.597280259807777,8,True
NC,94,408,No,No,3,100.79196214517543,52,15.118794321776313,328.9180580654124,68,32.89180580654124,337.3182765614042,52,26.98546212491234,10.21733521149569,2,2.043467042299138,0,True
NC,122,415,Yes,Yes,45,260.04957788990595,59,39.00743668348589,254.07862305822408,143,25.40786230582241,319.90037417794053,118,25.592029934235242,14.303522734416807,4,2.860704546883362,0,False
FL,75,415,No,No,21,174.60872809046919,147,26.191309213570378,161.5715047026329,80,16.15715047026329,326.76049010375544,72,26.140839208300434,13.172016279141475,2,2.6344032558282953,2,True
NC,96,415,No,No,14,160.09559717487096,138,24.014339576230643,272.6699427870017,84,27.266994278700167,347.88319395684664,102,27.830655516547733,6.88465238618471,4,1.3769304772369422,5,True
